Tên thuốc,Link,Ký tự,Trang
Thuốc 5-Fluorouracil 50mg Novartis điều trị giảm nhẹ trong nhiều loại ung thư (10ml),https://nhathuoclongchau.com.vn/thuoc/5-fluorouracil-50mg-novartis-10ml-35059.html,5,1
Thuốc Actadol 500 Medipharco điều trị các chứng đau và sốt từ nhẹ đến vừa (10 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/actadol-500mg-medipharco-10x10-33851.html,A,1
"Thuốc Allerphast 180mg Mebiphar điều trị viêm mũi dị ứng theo mùa, mày đay mạn tính vô căn (1 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/allerphast-180mg-4805.html,A,1
"Siro Ambroxol Danapha điều trị viêm phế quản, hen phế quản (60ml)",https://nhathuoclongchau.com.vn/thuoc/ambroxol-danapha-60ml-29574.html,A,1
"Thuốc mỡ bôi da Agiclovir 5% Agimexpharm điều trị nhiễm Herpes simplex, Herpes zoster, Herpes sinh dục (5g)",https://nhathuoclongchau.com.vn/thuoc/agiclovir-5-agimexpharm-30338.html,A,1
"Thuốc Atilene 2,5mg/5ml An Thiên điều trị các bệnh hô hấp, viêm mũi, hắt hơi, sổ mũi (100ml)",https://nhathuoclongchau.com.vn/thuoc/atilene-2-5-mg-5-ml-an-thien-100-ml.html,A,1
"Dung dịch uống AtiLude 250mg/5ml An Thiên tiêu nhầy, rối loạn đường hô hấp (6 vỉ x 5 ống x 5ml)",https://nhathuoclongchau.com.vn/thuoc/atilude-250-mg-5-ml-an-thien-6-x5-ong-5-ml.html,A,1
"Thuốc Acetylcystein 200mg Khapharco tiêu nhầy trong bệnh viêm phế quản, bệnh nhầy nhớt (190 viên)",https://nhathuoclongchau.com.vn/thuoc/acetylcystein-200mg-khapharco-190v-33746.html,A,1
"Thuốc Acefalgan 500mg Euvipharm giảm đau nhẹ đến vừa, hạ sốt (10 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/acefalgan-500mg-euvipharm-10x10-30343.html,A,1
Thuốc Acetab Extra Agimexpharm điều trị triệu chứng cảm cúm (10 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/acetab-extra-agimexpharm-10x10-33213.html,A,1
